"model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
"Fabia",2019,13999,"Semi-Auto",3000,"Petrol",150,60.1,1
"Astra",2020,15495,"Manual",10,"Petrol",150,54.3,1.2
"Mokka",2014,6798,"Manual",63205,"Diesel",30,62.8,1.7
"Corsa",2017,8500,"Manual",10202,"Petrol",145,55.4,1.4
"Fabia",2018,9415,"Manual",29100,"Diesel",145,70.6,1.4
"A4",2019,22250,"Automatic",7000,"Diesel",145,50.4,2
"Grandland X",2018,15495,"Manual",35597,"Diesel",145,56.5,1.5
"Astra",2016,9000,"Manual",33421,"Petrol",125,51.4,1.4
"Q3",2020,33491,"Semi-Auto",4432,"Petrol",150,39.2,1.5
"Mokka X",2017,11498,"Manual",38663,"Petrol",145,47.1,1.4
"Astra",2017,8999,"Manual",20157,"Petrol",150,62.8,1
"Q5",2017,37950,"Semi-Auto",30000,"Petrol",145,34,3
"Fabia",2016,7552,"Manual",21159,"Petrol",20,60.1,1.2
"Mokka X",2016,9900,"Manual",12249,"Petrol",200,42.2,1.6
"Yaris",2018,10788,"Manual",18965,"Petrol",145,56.5,1.5
"Q3",2018,23495,"Semi-Auto",11831,"Petrol",145,47.9,1.4
"Corsa",2016,6410,"Manual",16343,"Petrol",30,55.4,1.4
"Insignia",2016,10349,"Manual",29592,"Diesel",20,68.9,1.6
"Mokka X",2017,13498,"Manual",8072,"Petrol",145,47.1,1.4
"Yaris",2015,6498,"Manual",46604,"Diesel",0,80.7,1.4
"Yeti",2015,9500,"Manual",36671,"Petrol",160,46.3,1.2
"Superb",2017,18950,"Semi-Auto",28800,"Diesel",125,60.1,2
"Land Cruiser",2020,54550,"Automatic",4000,"Diesel",150,30.1,2.8
"Kodiaq",2019,34495,"Automatic",50,"Petrol",145,31.4,2
"Mokka X",2017,10998,"Manual",17785,"Petrol",205,42.2,1.6
"Aygo",2017,6890,"Manual",8434,"Petrol",145,69,1
"Mokka",2016,9863,"Manual",4680,"Petrol",200,40.9,1.6
"Mokka X",2017,13321,"Automatic",12941,"Petrol",160,43.5,1.4
"A4",2016,27176,"Semi-Auto",27176,"Diesel",150,53.3,3
"Astra",2017,9299,"Manual",35000,"Petrol",20,64.2,1
"Yeti",2015,11495,"Semi-Auto",21484,"Petrol",125,51.4,1.2
"A6",2017,20499,"Automatic",29095,"Diesel",145,55.4,2
"Mokka X",2017,11968,"Manual",8500,"Petrol",145,42.2,1.6
"Aygo",2015,7200,"Manual",24619,"Petrol",0,69,1
"Aygo",2017,7750,"Manual",22686,"Petrol",145,68.9,1
"Astra",2016,8998,"Manual",22968,"Petrol",20,64.2,1
"Q5",2013,14990,"Automatic",81957,"Diesel",205,47.1,2
"A1",2016,10990,"Manual",17679,"Diesel",0,76.3,1.6
"Yaris",2018,9795,"Manual",15942,"Petrol",145,58.9,1.5
"Fabia",2019,8999,"Manual",8920,"Petrol",150,57.7,1
"Fabia",2019,13790,"Manual",3584,"Petrol",150,52.3,1
"A5",2020,28945,"Semi-Auto",5000,"Diesel",145,50.4,2
"A5",2020,26500,"Semi-Auto",5000,"Diesel",145,47.1,2
"Q7",2019,42990,"Automatic",50,"Diesel",145,33.6,3
"Q5",2020,37495,"Automatic",7511,"Petrol",145,32.1,2
"Aygo",2019,11950,"Manual",4930,"Petrol",145,57.7,1
"Mokka X",2017,12900,"Semi-Auto",11279,"Petrol",160,43.5,1.4
"RAV4",2017,21095,"Automatic",8992,"Hybrid",20,57.6,2.5
"Yaris",2017,10395,"Automatic",32994,"Petrol",30,55,1.3
"Crossland X",2019,13299,"Manual",2199,"Petrol",145,47.1,1.2
"Yaris",2017,12178,"Automatic",28965,"Hybrid",135,76.3,1.5
"Crossland X",2017,12491,"Manual",12829,"Petrol",145,57.7,1.2
"A1",2016,11500,"Manual",17397,"Petrol",30,55.4,1.4
"Octavia",2015,7495,"Manual",48000,"Petrol",30,57.7,1.2
"Q5",2014,16990,"Automatic",42427,"Diesel",200,47.1,2
"Fabia",2016,6995,"Manual",41480,"Diesel",0,78.5,1.4
"A3",2018,26995,"Semi-Auto",18207,"Petrol",150,43.5,2
"A5",2019,33499,"Semi-Auto",8053,"Diesel",150,44.8,2
"Q5",2019,36000,"Automatic",8434,"Diesel",150,38.2,2
"A3",2019,19888,"Manual",6161,"Diesel",145,56.5,2
"Auris",2014,11495,"Automatic",32962,"Hybrid",0,76.4,1.8
"Mokka",2016,9999,"Manual",27105,"Diesel",20,68.9,1.6
"A1",2020,26011,"Semi-Auto",6000,"Petrol",145,44.1,1.5
"A5",2018,23998,"Semi-Auto",14078,"Petrol",145,45.6,2
"Q3",2014,13549,"Manual",38240,"Diesel",145,54.3,2
"Yaris",2015,12000,"Automatic",7929,"Hybrid",0,78,1.5
"A3",2016,14821,"Manual",38786,"Diesel",20,64.2,2
"Q2",2019,21355,"Manual",3653,"Diesel",145,49.6,1.6
"A1",2020,25888,"Semi-Auto",5432,"Petrol",150,44.8,1.5
"Q3",2013,10950,"Manual",65542,"Diesel",145,54.3,2
"A1",2013,8990,"Manual",70000,"Diesel",0,74.3,1.6
"Octavia",2019,14690,"Semi-Auto",15276,"Diesel",150,70.6,1.6
"Astra",2017,10981,"Semi-Auto",8672,"Petrol",145,51.4,1.4
"Aygo",2013,4599,"Manual",47337,"Petrol",0,65.7,1
"Mokka X",2017,9895,"Manual",35733,"Petrol",200,42.2,1.6
"Astra",2019,10483,"Manual",22825,"Petrol",145,52.3,1.4
"Mokka",2015,9500,"Manual",17385,"Diesel",20,68.9,1.6
"Fabia",2019,14170,"Manual",1505,"Petrol",145,60.1,1
"A4",2019,22288,"Manual",5654,"Petrol",145,39.2,2
"Adam",2018,9195,"Manual",14085,"Petrol",145,44.8,1.2
"Kodiaq",2019,24590,"Manual",4938,"Diesel",145,52.3,2
"Corsa",2015,6298,"Manual",29116,"Petrol",125,53.3,1.2
"Crossland X",2018,10000,"Manual",9478,"Petrol",145,44.8,1.2
"Karoq",2019,18495,"Manual",15611,"Petrol",145,52.3,1.5
"A1",2019,22790,"Automatic",2555,"Petrol",145,44.1,1
"Mokka X",2019,13490,"Manual",8173,"Petrol",145,39.2,1.4
"A3",2017,19310,"Semi-Auto",12272,"Petrol",145,56.5,1.4
"Combo Life",2019,17995,"Automatic",5278,"Diesel",145,50.4,1.5
"Yaris",2016,11690,"Automatic",25601,"Other",0,86,1.5
"Rapid",2017,8499,"Manual",25291,"Petrol",150,57.7,1.2
"Corsa",2018,10600,"Manual",15313,"Petrol",145,49.6,1.4
"Octavia",2017,9995,"Manual",52587,"Petrol",145,57.7,1.5
"A3",2016,13995,"Semi-Auto",30352,"Petrol",30,58.9,1.4
